,Sr. No.,Institute Code,Institute Name,CAP-I,CAP-II,CAP-III
0,"('1.', None)","('1002', None)","('Government College of Engineering, Amravati', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1002.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1002.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1002.pdf')"
1,"('2.', None)","('1005', None)","('Sant Gadge Baba Amravati University,Amravati', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1005.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1005.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1005.pdf')"
2,"('3.', None)","('1012', None)","('Government College of Engineering,Yavatmal', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1012.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1012.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1012.pdf')"
3,"('4.', None)","('1101', None)","('Shri Sant Gajanan Maharaj College of Engineering,Shegaon', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1101.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1101.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1101.pdf')"
4,"('5.', None)","('1105', None)","('Prof. Ram Meghe Institute of Technology & Research, Amravati', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1105.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1105.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1105.pdf')"
5,"('6.', None)","('1107', None)","(""P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1107.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1107.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1107.pdf')"
6,"('7.', None)","('1114', None)","('Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1114.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1114.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1114.pdf')"
7,"('8.', None)","('1116', None)","(""Shri Shivaji Education Society's College of Engineering and Technology, Akola"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1116.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1116.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1116.pdf')"
8,"('9.', None)","('1117', None)","('Janata Shikshan Prasarak Mandals Babasaheb Naik College Of Engineering, Pusad', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1117.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1117.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1117.pdf')"
9,"('10.', None)","('1119', None)","(""Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1119.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1119.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1119.pdf')"
10,"('11.', None)","('1120', None)","('Jawaharlal Darda Institute of Engineering and Technology, Yavatmal', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1120.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1120.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1120.pdf')"
11,"('12.', None)","('1121', None)","('Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1121.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1121.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1121.pdf')"
12,"('13.', None)","('1123', None)","('Dr.Rajendra Gode Institute of Technology & Research, Amravati', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1123.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1123.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1123.pdf')"
13,"('14.', None)","('1125', None)","('Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1125.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1125.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1125.pdf')"
14,"('15.', None)","('1126', None)","(""Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1126.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1126.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1126.pdf')"
15,"('16.', None)","('1127', None)","(""Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Engineering and Technology, Yavatmal"", None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1127.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1127.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1127.pdf')"
16,"('17.', None)","('1128', None)","('Prof Ram Meghe College of Engineering and Management, Badnera', None)","('', 'https://fe2022.mahacet.org/CAP-I/CAPR-I_1128.pdf')","('', 'https://fe2022.mahacet.org/CAP-II/CAPR-II_1128.pdf')","('', 'https://fe2022.mahacet.org/CAP-III/CAPR-III_1128.pdf')"
